run_id,bin,bin_centre,confidence,observed,count,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
cnn_small_hard_d4_s128_full_bce_nfull_seed0,0,0.03333333333333333,0.005805816826917298,0.00741217085223042,29546,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,1,0.1,0.09674585984371924,0.125,1840,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,2,0.16666666666666669,0.16506067826210935,0.20692974013474494,1039,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,3,0.23333333333333334,0.23262216214546835,0.23662306777645659,841,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,4,0.3,0.29807921751277655,0.2821522309711286,762,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,5,0.3666666666666667,0.36564159812405705,0.3859375,640,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,6,0.43333333333333335,0.43309916064094,0.4075907590759076,606,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,7,0.5,0.49942215922868477,0.5018867924528302,530,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,8,0.5666666666666667,0.5666170861158106,0.53125,576,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,9,0.6333333333333333,0.6341139405226904,0.6413223140495867,605,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,10,0.7,0.6993258631810909,0.6859756097560976,656,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,11,0.7666666666666666,0.7678806489411416,0.7363751584283904,789,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,12,0.8333333333333334,0.8353072104005904,0.8120380147835269,947,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,13,0.9,0.9030325848977644,0.8747252747252747,1365,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,14,0.9666666666666667,0.98580191411582,0.9835833569204642,7066,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,0,0.03333333333333333,0.05752694633156119,0.0,2387,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,1,0.1,0.09439831824146035,0.0,15830,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
