run_id,bin,agreement_low,agreement_high,n,share,featured_fraction,majority_baseline,lift,error_share,accuracy,balanced_accuracy,auc_roc,ece,brier,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed0,1,0.2,0.4,5703,0.11928965863453815,0.38523584078555145,0.6147641592144486,0.3129931614939505,0.19297423887587822,0.9277573207083991,0.923059916013669,0.9771023910892338,0.27242215154370814,0.13373214782681414,convnext_tiny,gz2,soft,d4_photo,224,full,bce,0,0,False,True
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed0,2,0.4,0.6,6995,0.14631442436412315,0.2923516797712652,0.7076483202287348,0.28477483917083635,0.024824355971896955,0.9924231593995712,0.9901983156750882,0.9995051739892815,0.23931598053916253,0.06922398970100503,convnext_tiny,gz2,soft,d4_photo,224,full,bce,0,0,False,True
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed0,3,0.6,0.8,13270,0.2775686077643909,0.16729464958553128,0.8327053504144687,0.16669178598342127,0.003747072599531616,0.99939713639789,0.9987381272675391,0.999983306836248,0.1411891047989482,0.02447342797609311,convnext_tiny,gz2,soft,d4_photo,224,full,bce,0,0,False,True
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed0,4,0.8,1.0,16733,0.35000418340026773,0.22769377876053307,0.7723062212394669,0.22763401661387683,0.000468384074941452,0.9999402378533437,0.9998687664041994,1.0,0.08285790347836312,0.008479622147968234,convnext_tiny,gz2,soft,d4_photo,224,full,bce,0,0,False,True
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed1,0,0.0,0.2,5107,0.10682312583668005,0.4315645192872528,0.5684354807127472,0.10495398472684547,0.761296211775445,0.6733894654395927,0.672179508900299,0.7317359912425534,0.08292174152993442,0.21776179931503287,convnext_tiny,gz2,soft,d4_photo,224,full,bce,0,1,False,True
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed1,1,0.2,0.4,5703,0.11928965863453815,0.38523584078555145,0.6147641592144486,0.3061546554445028,0.20584208124144227,0.9209188146589514,0.9196222822128708,0.9749823503034397,0.27092178064010947,0.13759449519224273,convnext_tiny,gz2,soft,d4_photo,224,full,bce,0,1,False,True
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed1,2,0.4,0.6,6995,0.14631442436412315,0.2923516797712652,0.7076483202287348,0.2832022873481058,0.02921040620721132,0.9908506075768406,0.9886567385344891,0.9993528438418413,0.24716367944542472,0.07377590101740672,convnext_tiny,gz2,soft,d4_photo,224,full,bce,0,1,False,True
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed1,3,0.6,0.8,13270,0.2775686077643909,0.16729464958553128,0.8327053504144687,0.16676714393368508,0.003194888178913738,0.9994724943481538,0.9989633524927642,0.9999932534344299,0.1505207204532942,0.02742917166482039,convnext_tiny,gz2,soft,d4_photo,224,full,bce,0,1,False,True
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed1,4,0.8,1.0,16733,0.35000418340026773,0.22769377876053307,0.7723062212394669,0.22763401661387683,0.00045641259698767686,0.9999402378533437,0.9998687664041994,1.0,0.08894115729362208,0.009690959436392017,convnext_tiny,gz2,soft,d4_photo,224,full,bce,0,1,False,True
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed2,0,0.0,0.2,5107,0.10682312583668005,0.4315645192872528,0.5684354807127472,0.10142941061288435,0.7769585253456222,0.6698648913256315,0.6655286664461884,0.7318389887674869,0.07906654848991969,0.21693630312393306,convnext_tiny,gz2,soft,d4_photo,224,full,bce,0,2,False,True
