run_id,coverage,accuracy,arch,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.46321608040201007,0.9999548439654102,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.46814070351758796,0.9999553189859668,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.47306532663316586,0.9999557841165484,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.47798994974874376,0.9999562396628687,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.48291457286432166,0.9999133718362633,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.48783919597989955,0.9999142463273958,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.4927638190954774,0.9999151033394499,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.4976884422110553,0.9999159433911907,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.5026130653266332,0.9999167669812657,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.507537688442211,0.9998763618831278,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.512462311557789,0.9998775500117421,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.5173869346733668,0.9998787155225053,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.5223115577889448,0.9998398120735859,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.5272361809045226,0.999841308300914,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.5321608040201006,0.9997248594629277,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.5370854271356784,0.9997273822710924,cnn_deep,hard,d4,128,full,bce,0,0,False,True
