run_id,spearman_vs_votefraction,mae_vs_votefraction,pearson_vs_votefraction,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
mobilenetv3_hard_d4_s224_full_bce_nfull_seed0,0.8931244738058064,0.15727617981862682,0.9110664652328352,mobilenetv3,gz2,hard,d4,224,full,bce,0,0,False,True
mobilenetv3_hard_d4_s224_full_bce_nfull_seed1,0.8802759914345438,0.1565091298000637,0.9113415685810559,mobilenetv3,gz2,hard,d4,224,full,bce,0,1,False,True
mobilenetv3_hard_d4_s224_full_bce_nfull_seed2,0.8912002580315928,0.15886003970019533,0.9096819170885602,mobilenetv3,gz2,hard,d4,224,full,bce,0,2,False,True
mobilenetv3_hard_d4_s224_full_bce_nfull_seed3,0.8894319028908699,0.15753670953015145,0.9111568799947678,mobilenetv3,gz2,hard,d4,224,full,bce,0,3,False,True
mobilenetv3_hard_d4_s224_full_bce_nfull_seed4,0.8961674286105328,0.1517612979501702,0.9169574438563367,mobilenetv3,gz2,hard,d4,224,full,bce,0,4,False,True
mobilenetv3_soft_d4_s224_full_bce_nfull_seed0,0.9219086653213191,0.054888419485290364,0.9686480638476367,mobilenetv3,gz2,soft,d4,224,full,bce,0,0,False,True
mobilenetv3_soft_d4_s224_full_bce_nfull_seed1,0.9217925165508024,0.054931371422449214,0.9685568820018742,mobilenetv3,gz2,soft,d4,224,full,bce,0,1,False,True
mobilenetv3_soft_d4_s224_full_bce_nfull_seed2,0.9213919226013246,0.05512406178238156,0.96837042375749,mobilenetv3,gz2,soft,d4,224,full,bce,0,2,False,True
mobilenetv3_soft_d4_s224_full_bce_nfull_seed3,0.9209251289057314,0.05501240853017304,0.9682362550513497,mobilenetv3,gz2,soft,d4,224,full,bce,0,3,False,True
mobilenetv3_soft_d4_s224_full_bce_nfull_seed4,0.9218216973949799,0.05465214689201464,0.9687808560487449,mobilenetv3,gz2,soft,d4,224,full,bce,0,4,False,True
resnet50_hard_conf_d4_s224_full_bce_nfull_seed0,0.8365169261012879,0.18431769659477082,0.8754442044043971,resnet50,gz2,hard_conf,d4,224,full,bce,0,0,False,True
resnet50_hard_conf_d4_s224_full_bce_nfull_seed1,0.8431273448410548,0.18439074816859014,0.8760942596340159,resnet50,gz2,hard_conf,d4,224,full,bce,0,1,False,True
resnet50_hard_conf_d4_s224_full_bce_nfull_seed2,0.8539896669513459,0.1816544090416549,0.8821550668973639,resnet50,gz2,hard_conf,d4,224,full,bce,0,2,False,True
